证券ID,名称,资产类型,行业,账面总数量,券商可卖数量,冻结数量,T+1复核可卖(8/31起),当前可执行数量,最早可执行日,重建含费成本,重建均价,券商展示均价,账面价格,市值,OCR总数量,OCR置信度,OCR差异说明,source_id
SYN201.SH,证券A,A股,电子,18000,14000,4000,18000,14000,2026-08-31,381499.16,21.1944,21.32,22.4,403200.0,"13,000? (低置信)",0.62,OCR总数量0.62<0.80不得覆盖官方; OCR可卖14000@0.94与官方一致但与OCR总数量逻辑矛盾,BRK-POS-01/BRK-TRD-01~03/IMG-01
SYN202.SZ,证券B,A股,银行,12500,12500,0,12500,12500,2026-08-28,101276.32,8.1021,8.11,7.86,98250.0,"12,500",0.98,OCR一致; 注意除息日价格7.86 vs 调整前收盘8.16(差0.30为机械股息),BRK-POS-02/BRK-TRD-04/IMG-01
SYN203.SH,证券C,A股,医药,8000,8000,0,8000,0,复牌日未知,116030.16,14.5038,14.52,15.2,121600.0,"8,000",0.96,"OCR一致但不能证明可成交; 8/25起停牌, 价格陈旧(8/24), 账面市值≠可变现金额",BRK-POS-03/BRK-TRD-05/IMG-01/EXCH-CA-02
SYN204.SZ,证券D,A股,电子,10000,10000,0,10000,0,恢复有效买盘后,168043.68,16.8044,16.82,13.5,135000.0,"10,000",0.95,"OCR名称识别错误(0.74)以security_id为准; 跌停且买盘为零, 券商可卖≠可执行",BRK-POS-04/BRK-TRD-06/IMG-02/MKT-SRC-04
SYNETF.SH,宽基ETF,股票ETF,宽基,50000,50000,0,50000,50000,2026-08-28,196049.0,3.92098,3.925,4.12,206000.0,"50,000",0.99,"OCR一致; 流动性好(ADV 1500万), 但不属于高波动电子暴露",BRK-POS-05/BRK-TRD-07/IMG-02

=== 账户净资产勾稽 ===
项目,金额,说明,source_id
券商statement_total_assets,1038800.0,券商汇总值,BRK-ACC-01
持仓市值合计,964050.0,5只证券账面市值加总,BRK-POS-01~05
交易可用资金(含未结算),76000.0,ACC-03汇总值,BRK-ACC-03
  其中:已结算可划转,58000.0,ACC-02,BRK-ACC-02
  其中:未结算卖出毛额,18000.0,ACC-04毛额;净额复算=17985.82,BRK-ACC-04/BRK-TRD-08
已确认股息应收(B),3750.0,ACC-05; 9/3到账晚于截止日; 券商未明确是否计入总资产,CA-B-01
明细净资产(持仓+交易可用),1040050.0,不含股息应收,计算值
明细净资产(含股息),1043800.0,,计算值
"残差(明细-券商, 不含股息)",1250.0,+1250.00; 不强行补平,计算值
"残差(明细-券商, 含股息)",5000.0,+5000.00; 不强行补平,计算值
