rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost,net_cash,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R-001,Day1_2026-09-21,"日期=2026-09-21且LOT-03的3,000股T+1冻结解除","将可卖股数从21,000更新为24,000；不自动卖出，等待价格条件触发",0,N/A,2026-09-21 09:30:00 Asia/Shanghai,0.00,0.00,24000(可卖),64.40%-64.57%,"若LOT-03解冻未生效则可卖仍为21,000",9/21开盘后确认可卖股数,"EV-SRC-001,LEDGER-005,BRK-POS-001"
R-002,Day1_2026-09-21,"日期=2026-09-21且证券结算应收8,960元到账且应付费用12元扣除","已结算现金更新为72,500+8,960-12=81,448元；低风险资产合计更新",0,N/A,2026-09-21 09:30:00 Asia/Shanghai,0.00,"+8,948.00",24000,64.40%-64.57%,"若应收未到账则现金仍为72,500",9/21收盘后核对现金余额,"EV-SRC-002,EV-SRC-003,ACCT-001"
R-003,Day1-Day3_减仓阶段,"价格≥20.80元且trade_status=NORMAL且当日已卖<3,000股且剩余持股>12,000","卖出3,000股（限价≥20.80）；优先卖出LOT-01(成本最低)批次",3000,限价≥20.80(除息前),2026-09-21 09:30:00 Asia/Shanghai,约145.50(佣金6.00+过户0.62+印花31.20+滑点107.68),"约62,254.50",21000,56.2%-56.4%,"价格跌破20.80或当日已达3,000股或剩余≤12,000","每成交1,000股复核一次；收盘后复核","PAR-013,PAR-012,LIQ-001,FEE-SRC-001,LEDGER-001"
R-004,Day1-Day3_减仓阶段,"价格≥22.00元(接近技术压力22.30)且trade_status=NORMAL且剩余持股>12,000","加速卖出4,000股（限价≥22.00）；技术偏强不豁免硬约束",4000,限价≥22.00,触发日 09:30:00 Asia/Shanghai,约194.00,"约87,806.00",20000,53.5%-53.7%,"价格回落至<22.00或当日已卖4,000股或剩余≤12,000","触及22.00立即触发；每成交1,000股复核","TECH-SRC-001,PAR-004,DQ-SRC-007,LIQ-001"
R-005,全期_跌破偏好价,价格<20.80元(除息后<20.70元)但>跌停价且trade_status=NORMAL且权重>35%,"软卖价偏好失效；仍须按硬约束卖出2,000股（市价或限价≥跌停价）；不得因偏好价停止减仓",2000,市价/限价≥跌停价,触发日 09:30:00 Asia/Shanghai,约97.00,"约40,903.00(按20.50估)",视当前持股而定,视当前持股而定,"价格回升至≥20.80(除息后≥20.70)或权重≤35%或当日已卖2,000股",价格跌破20.80立即触发；每日收盘复核硬约束状态,"PAR-013,DQ-SRC-008,PAR-004,PAR-006"
R-006,全期_跌破偏好价,价格<20.80元且客户已明确授权在跌破偏好价时暂停减仓,暂停卖出；记录'条件未成立(客户偏好覆盖)，因此未执行'；但须每日向客户提示硬约束违反状态,0,N/A,触发日,0.00,0.00,不变,不变(仍违反),客户撤销暂停授权或价格回升,每日收盘向客户报告权重和风险贡献违反程度,"PAR-013,DQ-SRC-008"
R-007,Day4_2026-09-24_除息,日期=2026-09-24(除息日)且前收盘价已除息下调0.10元,所有价格触发条件机械下调0.10元：软卖价20.80→20.70，技术支撑20.80→20.70，压力22.30→22.20；不得将除息缺口解读为价格下跌信号,0,除息调整后价格,2026-09-24 09:30:00 Asia/Shanghai,0.00,0.00,不变,不变,除息日结束后触发线保持调整后值,9/24开盘前确认除息参考价,"CA-003,EV-SRC-006,DQ-SRC-009"
R-008,Day3_2026-09-23_登记日,日期=2026-09-23(股权登记日)且收盘前,登记日收盘持股决定每股0.10元分红资格；不得在登记日前将未来分红确认为固定应收；若计划在登记日卖出，须在卖出决策中扣除失去的分红(0.10元/股×卖出股数),0,N/A,2026-09-23 09:30:00 Asia/Shanghai,0.00,0.00,视当日卖出而定,视当日卖出而定,登记日收盘后分红资格锁定,9/23收盘后记录登记日持股数和分红应收,"CA-003,EV-SRC-005,DQ-SRC-009"
R-009,全期_跌停无买盘,trade_status=LIMIT_DOWN_NO_BID或bid1=0或价格=跌停价且无买盘,不得卖出；记录'条件未成立(跌停无买盘)，因此未执行'；不得将委托数量计为现金或已成交；当日做T也不得执行,0,N/A,N/A,0.00,0.00,不变,不变(可能恶化),买盘恢复且价格打开跌停,次日开盘前评估是否跳空；若跳空按新价格重新计算所有触发条件,"RULE-SRC-06,SCN-003,DQ-SRC-004"
R-010,全期_停牌,trade_status=SUSPENDED,不得卖出或做T；记录'条件未成立(停牌)，因此未执行'；停牌期间不得假设按理论价格成交；复牌后重新评估价格、权重和风险贡献,0,N/A,N/A,0.00,0.00,不变,不变,复牌且trade_status=NORMAL,复牌当日开盘前重新计算所有触发条件和约束状态,"RULE-SRC-07,SCN-004"
R-011,全期_做T,"价格日内波动≥0.1513元/股(0.702%)且先卖已可卖底仓成交后且回补价≤卖出价-0.1513元且日终持股不高于日初且已结算现金≥50,000","先卖2,000股底仓，再回补不超过2,000股；价差须覆盖双边佣金(最低5元)+双边过户费+卖出印花税+双边滑点+0.30%缓冲；做T不得替代净减仓",2000,先卖后买，价差≥0.1513元,触发日 09:30-14:55 Asia/Shanghai,约173.26(双边费用),净现金变化≈价差收益-费用,日终=日初(净零变化),不变(硬约束无改善),"价差不足0.1513元或回补无法成交或现金<50,000或日终将高于日初",卖出成交后立即监控回补价；14:55前未回补则放弃回补(转为净减仓),"PAR-010,PAR-011,FEE-SRC-001,LIQ-SRC-001,PAR-016"
R-012,全期_做T失败,做T先卖成交后价格上涨导致回补价>卖出价-0.1513元且14:55前无法按规则回补,放弃回补；该卖出转为净减仓(日终持股低于日初)；记录'做T失败，未回补，转为净减仓'；不得追加买入追高,0,N/A(已卖出不回补),触发日 14:55:00 Asia/Shanghai,已发生卖出费用,卖出净现金已到账(T+1可划转),日终=日初-已卖股数,下降(硬约束改善),N/A(已执行),次日开盘前更新持股和可卖数量,"PAR-010,PAR-011,DQ-SRC-006"
R-013,全期_硬约束覆盖,"权重>35%或风险贡献>60%或压力损失>8%，且技术状态显示趋势偏强(RSI>60,MACD>0)","技术偏强不得成为继续超限或加仓的理由；必须继续执行减仓规则；软偏好(12,000股/20.80元)在硬约束未满足前不得覆盖硬约束",按R-003/R-005执行,按对应规则,立即,按对应规则,按对应规则,按对应规则,按对应规则,所有硬约束均满足后,每日收盘检查三项硬约束状态,"PAR-004,PAR-005,PAR-006,DQ-SRC-007,TECH-SRC-001"
R-014,全期_最低保留股数,"剩余持股=12,000股且风险贡献>60%(硬约束违反)","12,000股软偏好与60%风险贡献硬约束冲突；须立即通知客户：保留12,000股时风险贡献约90%，无法满足60%硬上限；请求客户确认是否(a)授权继续减仓至约2,500股以满足60%RC，或(b)接受风险约束违反并签署知情确认",0,N/A,触发时立即,0.00,0.00,12000,约32.3%(权重达标)但RC约90%(违反),客户确认选择(a)或(b),触发后24小时内取得客户确认,"PAR-012,PAR-006,RISK-001,CORR-001"
R-015,全期_低风险资产目标,"截至2026-10-09已结算现金+可赎回低风险资产<300,000元且剩余持股>0","继续卖出证券M直至低风险资产≥300,000元；预计需卖出约4,500股(按21.55元)；卖出净现金T+1可划转；不得赎回短债基金(未授权)",4500,限价≥20.80(除息后≥20.70),2026-10-08前,约218.00,"约96,755.00",视当前持股而定,视当前持股而定,"低风险资产≥300,000或持股=0",每日收盘计算低风险资产合计和距目标缺口,"PAR-007,ACCT-001,AST-003,AST-004,EV-SRC-009"
R-016,Day8_2026-09-30_分红支付,日期=2026-09-30且2026-09-23登记日持股>0,现金分红到账=登记日持股×0.10元；计入已结算现金和低风险资产合计；此为登记日已锁定应收，不是新的交易决策,0,N/A,2026-09-30 收盘后,0.00,登记日持股×0.10,不变,不变(现金增加),N/A,9/30收盘后核对分红到账金额,"CA-003,EV-SRC-009"
R-017,Day10_2026-10-09_截止检查,日期=2026-10-09(计划截止日)收盘后,"逐项检查：(1)权重≤35%；(2)风险贡献≤60%；(3)压力损失≤8%；(4)低风险资产≥300,000；(5)已结算现金≥50,000；输出达成/未达成清单；未达成项须说明原因和下一步建议；不得声称已达成未实际达成的约束",0,N/A,2026-10-09 15:30:00 Asia/Shanghai,0.00,0.00,最终持股,最终权重,N/A,生成十日计划执行回顾报告,"PAR-004,PAR-005,PAR-006,PAR-007,PAR-008,EV-SRC-010"
R-018,全期_ADV约束,"当日累计卖出(含做T卖出)>9,000股(ADV20的5%)",停止卖出；记录'条件未成立(ADV参与率超限)，因此未执行'；超出部分顺延至下一交易日；做T卖出也计入当日ADV,0,N/A,触发时立即,0.00,0.00,不变,不变,下一交易日重置ADV计数,每笔成交后更新当日累计卖出股数,"PAR-009,LIQ-001,RULE-SRC-03"
R-019,全期_现金下限,"做T回补后或任意时点已结算现金<50,000元","不得执行做T回补或任何买入；记录'条件未成立(现金低于50,000下限)，因此未执行'；卖出不受此限(卖出增加现金)",0,N/A,触发时立即,0.00,0.00,不变,不变,"现金恢复至≥50,000",每笔交易前后检查现金余额,"PAR-008,ACCT-001"
