scenario,plan_day,sell_shares,reference_price,estimated_execution_price,estimated_cost,net_cash,post_trade_shares,settled_or_trade_cash_before_T1_withdrawal,t_action,constraint_status,evidence_ids
正常基准,1,9000,21.55,21.52,147.18,193511.89,15000,266011.89,不回补；做T不能替代净减仓,条件成立可提交审批,SCN/RULE/LIQ
正常基准,2,9000,21.55,21.52,147.18,193511.89,6000,459523.79,不回补；做T不能替代净减仓,条件成立可提交审批,SCN/RULE/LIQ
正常基准,3,3600,21.55,21.52,58.87,77404.76,2400,536928.55,不回补；做T不能替代净减仓,条件成立可提交审批,SCN/RULE/LIQ
上涨7%,1,9000,23.06,23.02,157.48,207057.73,15000,279557.73,不回补；做T不能替代净减仓,仍须执行风险净减仓,SCN/RULE/LIQ
上涨7%,2,9000,23.06,23.02,157.48,207057.73,6000,486615.45,不回补；做T不能替代净减仓,仍须执行风险净减仓,SCN/RULE/LIQ
上涨7%,3,3600,23.06,23.02,62.99,82823.09,2400,569438.54,不回补；做T不能替代净减仓,仍须执行风险净减仓,SCN/RULE/LIQ
跌破20.80但可交易,1,9000,20.47,20.39,139.47,183376.02,15000,255876.02,不回补；做T不能替代净减仓,软偏好让位须客户确认；硬风险不豁免,SCN/RULE/LIQ
跌破20.80但可交易,2,9000,20.47,20.39,139.47,183376.02,6000,439252.04,不回补；做T不能替代净减仓,软偏好让位须客户确认；硬风险不豁免,SCN/RULE/LIQ
跌破20.80但可交易,3,3600,20.47,20.39,55.79,73350.41,2400,512602.44,不回补；做T不能替代净减仓,软偏好让位须客户确认；硬风险不豁免,SCN/RULE/LIQ
跌停无买盘,1,0,19.39,19.32,0.00,0.00,24000,72500.00,不回补；做T不能替代净减仓,首日0成交，不计现金；次日按再跳空-5%复核,SCN/RULE/LIQ
跌停无买盘,2,0,19.39,19.32,0.00,0.00,24000,72500.00,不回补；做T不能替代净减仓,首日0成交，不计现金；次日按再跳空-5%复核,SCN/RULE/LIQ
跌停无买盘,3,0,19.39,19.32,0.00,0.00,24000,72500.00,不回补；做T不能替代净减仓,首日0成交，不计现金；次日按再跳空-5%复核,SCN/RULE/LIQ
停牌复牌,1,0,18.96,18.89,0.00,0.00,24000,72500.00,不回补；做T不能替代净减仓,前三交易日0成交；复牌后重新估价,SCN/RULE/LIQ
停牌复牌,2,0,18.96,18.89,0.00,0.00,24000,72500.00,不回补；做T不能替代净减仓,前三交易日0成交；复牌后重新估价,SCN/RULE/LIQ
停牌复牌,3,0,18.96,18.89,0.00,0.00,24000,72500.00,不回补；做T不能替代净减仓,前三交易日0成交；复牌后重新估价,SCN/RULE/LIQ
