rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost,net_cash,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R01,pre-plan,AS-OF 2026-09-21 09:30:00; LOT-03 3000 shares become sellable; receivable 8960 arrives; fee payable 12 deducted,RECONCILE: confirm total sellable=24000; settled cash=72500+8960-12=81448; no trade yet,0,N/A,2026-09-21 09:30:00,0.00,0.00,24000,64.4%-64.6%,"If sellable != 24000, halt and investigate",09:30 market open; check broker position,"EV-SRC-001,EV-SRC-002,EV-SRC-003,LEDGER-005"
R02,de-risk,Price >= 20.80 (pre-ex-div); market NORMAL; bid depth >= 12000; ADV participation <= 5%,SELL 9000 shares (max ADV) at limit price near bid; FIFO: LOT-01 then LOT-02,9000,limit @ bid-ask mid,2026-09-21 09:35:00,535.73 (on 9000@21.55),193964.27 (est),15000,40.3%-40.7% (partial),"If price < 20.80 OR limit-down OR suspension OR bid depth < 5000, do NOT execute; go to R05/R06","10:30 check fill; if unfilled >50%, cancel and re-evaluate at 14:00","LIQ-001,RULE-SRC-01..07,FEE-SRC-01..03,SLIP-01"
R03,de-risk,After R02 filled; remaining M weight still > 35%; price >= 20.70 (post-ex-div) or >= 20.80 (pre-div); market NORMAL,SELL 2000 shares to reach total 11000; verify weight <= 35%; may split across days,2000,limit @ bid-ask mid,2026-09-22 09:35:00,119.05 (on 2000@21.55),42918.85 (est),13000,34.9%-35.1% (target),"If weight already <= 35% or price triggers invalidate, skip or reduce","After execution, recalculate weight with actual close; if still >35%, add R03b on day 3","PAR-004,LIQ-001,RULE-SRC-03"
R03b,de-risk,"After R02+R03, post-trade weight still > 35% due to price move; ADV allows 9000/day",SELL additional 100-9000 shares to bring weight to <=35%; use 100-share grid; verify one lot less still over,up to 9000,limit @ market,2026-09-23 09:35:00 or next trading day,calc per 100 shares,calc per shares,12000-13000,34.5%-35.0%,"If selling pushes remaining below 12000 (soft), flag conflict and ask client",End of day; recalc weight and RC,"PAR-004,PAR-012"
R04,tactical,Price approaches 22.30 daily resistance with RSI > 70 AND weight still > 35%,SELL into strength: add up to 2000 shares to R02/R03 order (within daily 9000 ADV),up to +2000,limit @ 22.20,2026-09-21 to 2026-09-25,calc,calc,11000-15000,33%-35%,"If price breaks above 22.30 with volume, do NOT chase; wait for next resistance 23.00",15:00 close; check if resistance held,"TECH-SRC-001,TECH-SRC-002"
R05,downside,Price falls below 20.80 (pre-div) or 20.70 (post-ex-div adjusted) but market NORMAL and tradable,HARD RISK OVERRIDES SOFT FLOOR: continue selling to meet 35% weight and 8% stress; do NOT hold just because price < 20.80,per R02/R03 schedule,market or limit @ support-0.05,same as R02/R03,same,same,13000,34.9%-35.1%,"If price at limit-down, go to R06",Every 30 min; check if approaching limit-down,"PAR-013,DQ-SRC-008"
R06,downside,Price hits limit-down (19.17 pre / adjusted post) with NO bid; trade_status=LIMIT_DOWN_NO_BID,DO NOT place sell orders; no cash credited; position unchanged; wait for next trading day,0,N/A,N/A (cannot execute),0.00,0.00,24000,64.4%-64.6%,"If limit-down holds entire day, repeat next day; stress loss compounds (day1 -10%, day2 gap -5%)","Next day open; if gap down another 5%, stress loss=9.73% FAIL","RULE-SRC-06,SCN-003"
R07,downside,trade_status=SUSPENDED; no trading for 3+ days,NO execution; no cash; position unchanged; prepare for resumption gap; cannot meet deadlines while suspended,0,N/A,N/A,0.00,0.00,24000,64.4%-64.6%,"On resumption, expect gap -12%; sell at market open up to ADV 9000; do NOT wait for recovery",Resumption day 09:30; sell into open,"RULE-SRC-07,SCN-004"
R08,t-trade,Weight <= 35% AND RC <= 60% AND stress <= 8% AND cash >= 50000 AND market NORMAL,"MAY execute 1 round-trip/day: sell up to 2000 from sellable base, buy back same day <= sold qty; day-end shares <= day-start",2000,"sell @ ask, buy @ bid; spread must cover 0.0866/share",2026-09-22 onwards after de-risking,173.26 round-trip on 2000@21.55,0 (break-even if spread covered),24000 (unchanged),unchanged,"If hard constraints NOT met, T is FORBIDDEN (cannot use buyback to maintain over-risk)",15:00 check day-end position <= day-start,"PAR-010,PAR-011,BUF-01"
R09,t-trade,"After selling for T, price rises above re-buy threshold; cannot buy back at acceptable spread",DO NOT chase buyback; this is T failure; keep net reduction; day-end shares LOWER than start; counts as net de-risking,0 buyback,N/A (do not buy),same day 14:55 deadline,173.26 (sell side only),sell proceeds,22000 (after 2000 T-sell not bought back),lower than start,"If 14:55 no acceptable buyback, do NOT buy at market close; accept net sell",Next day; reassess position,PAR-011
