row_type,rank,object,recommended_path,current_executable,cash_speed,hard_constraint_effect,risk_evidence,liquidity_evidence,cost_or_dividend_effect,soft_preference_effect,source_ids
security_priority,1,证券A,减仓,否，已收盘；8/31复核后可执行,高,直接降低单票39.24%、高波动/电子51.81%、A风险贡献58.20%及压力损失,年化波动48%；STRESS-01损失72576；技术偏强但不能覆盖hard,ADV 2400000，5%上限120000；持仓18000,按22.3888估算卖出费用率约0.076%，当前批次整体有浮盈,会冲突于保留12000股；全hard下最多保留11300,BRK-POS-01|MKT-SRC-01|RISK-01|SCEN-01-201|POLICY-02|POLICY-03|POLICY-04|POLICY-06
security_priority,2,证券D,恢复买盘后减仓/退出,否，跌停且零买盘,不确定,与A共同构成高波动和电子超限；降低STRESS-01第二大损失33750,波动62%、beta1.5、与A相关0.78,恢复后单日5%ADV=9000股，当前10000股需两日全退,估算滑点0.30%，卖出将实现较大亏损,客户未要求保留,MKT-SRC-04|RISK-04|CORR-04|SCEN-01-204|POLICY-03|POLICY-04
security_priority,3,宽基ETF,仅作现金缺口备用,否，已收盘；8/31正常时可执行,最高,降低总仓位和压力，但不能直接修复A+D高波动/电子集中；ETF-only反例仍多项超限,波动22%；STRESS-01损失18540,ADV15000000，5%上限750000，持仓50000,佣金0.02%最低5，无印花税，滑点0.02%,增加交易标的数量但仍可≤3,MKT-SRC-05|RISK-05|SCEN-01-ETF|FEE-04|SLIP-05
security_priority,4,证券C,持有至复牌并重估；不预记现金,否，停牌,未知,复牌后卖出可降仓位与STRESS-02损失24320；当前不可用于整改,价格陈旧；历史波动35%可能低估跳空,复牌日未知，当前可执行0,复牌滑点未提供，不能伪精确,无明确保留偏好,EXCH-CA-02|MKT-SRC-03|RISK-03|SCEN-02-203
security_priority,5,证券B,优先持有,否，已收盘；8/31正常时可执行,高,低波动、风险贡献仅1.58%；卖出不直接修复高波动/电子集中,波动18%、beta0.55,ADV3000000，5%上限150000,价格口径亏损3026.32；计入已确认股息后总回报+723.68；股息9/3到账，不解决现金截止,客户偏好支付日前避免卖出,MKT-SRC-02|ISSUER-CA-01|RISK-02|CLIENT-06
path_assessment,,持有,当前不可作为唯一方案,无需交易,无新增现金,现金缺口184014.18且多项hard超限,最坏压力13.2404%,不适用,不产生交易费,符合少卖，但违反hard,CLIENT-01|POLICY-01..06
path_assessment,,加仓,计划窗口内禁止,不建议,消耗现金,恶化现金和仓位，不能解决超限,当前风险资产92.8042%,不适用,新增买入费用且T+1,即便偏好A也不能覆盖hard,CLIENT-01|POLICY-01|RULE-02
path_assessment,,减仓,主路径,8/31起按状态,形成T+1可划转款,可同时修复现金、仓位、集中、压力,优先A；D恢复后次之,遵守5%ADV与100股单位,计佣金/印花/过户/滑点,需牺牲A至少700股soft下限,OPS-01|OPS-03|OPS-04
path_assessment,,退出,D恢复买盘后适用,当前不可,若成交则次日可划转,显著降高波动、电子、压力,D波动62%、压力冲击-25%/-30%,两日最多9000+1000股,将实现亏损且滑点较高,不冲突A保留偏好，但单独退出D仍触发A风险贡献超限,RISK-04|SCEN-01-204|SLIP-04|OPS-04
path_assessment,,做T,不作为现金/整改主手段,仅硬约束已满足后才可评估,回补会消耗现金,日终不减仓则不能修复,可能扩大执行与价格风险,必须先卖底仓、回补≤已卖、日终不增持,A价差门槛约0.302%（双边佣金0.05%+过户0.002%+卖出印花0.05%+双边滑点0.10%+缓冲0.10%，最低佣金另计）,与截止日前现金优先级冲突,OPS-05|FEE-01|FEE-02|FEE-03|SLIP-01
