metric,caliber,value,threshold_or_ref,status,source_or_formula
账户明细净资产NAV,明细口径,801048.0,-,-,资产背景加总:517200+80000+120000+72500+8960+2400-12
券商账单总资产NAV,账单口径,803048.0,-,-,ACCT-001 statement_total_assets
未勾稽残差,两口径差额,2000.0,-,OPEN,账单比明细高2000;DQ-001禁止虚构其他资产补平
证券M权重(明细NAV),明细口径,0.645654,0.35,超限29.57pct,517200/801048
证券M权重(账单NAV),账单口径,0.644046,0.35,超限29.40pct,517200/803048
组合年化波动率(交易前),明细口径,0.324324,-,-,"权重[0.6457,0.0999,0.1498,0.1047]×σ[.48,.22,.035,0]×相关性矩阵"
证券M风险贡献(交易前),明细口径,0.95402,0.6,超限35.40pct,RC_M=w_M×MCR_M/σ_p=0.3119/0.3243;占组合风险95.4%
组合压力损失 基准,明细口径,-0.013762,-0.08,PASS,w·shock:M-2%/ETF-1%/债+0.1%
组合压力损失 趋势延续,明细口径,0.047193,-,PASS(上涨),M+7%/ETF+2%
组合压力损失 跌停后跳空(首日),明细口径,-0.06826,-0.08,PASS,"首日LIMIT_DOWN无买盘不可卖,损失-6.83%"
组合压力损失 跌停后跳空(累计),明细口径,-0.097315,-0.08,FAIL,"首日-10%后次日再-5%:M累计-14.5%,组合-9.73%"
组合压力损失 停牌复牌,明细口径,-0.080324,-0.08,FAIL(临界),"停牌3日复牌M-12%/ETF-3%,组合-8.03%"
权重达标所需卖出,明细口径,11000,100股整数,-,卖后权重34.996%;卖10900仍35.27%超限
风险贡献达标所需卖出,明细口径,21600,100股整数,-,卖后RC=59.07%;卖21500仍>60%;此为最紧硬约束
压力损失达标所需卖出,明细口径,4500,100股整数,-,卖4500后累计压力-7.78%<8%
低风险资产达标所需卖出,明细口径,5000,100股整数,-,卖后现金+SYNBOND≥300000
主方案(满足全部硬约束),卖出21600后,0.06465,0.35,PASS,留2400股;权重6.47%
主方案 风险贡献,卖出21600后,0.59073,0.6,PASS(贴线),RC=59.07%
主方案 累计压力损失,卖出21600后,-0.0131,-0.08,PASS,约-1.31%
主方案 现金+低风险,卖出21600后,656928.0,300000.0,PASS,结算现金约536928+短债120000
主方案 保留股数 vs软偏好,卖出21600后,2400,12000,违反软偏好,硬风险贡献约束不可被软偏好覆盖
偏好路径(保留12000股),卖12000后,0.90693,0.6,FAIL,"权重32.31%/压力-5.05%达标,但RC仍90.69%超限"
