规则ID,适用日期/时段,对象,触发条件(可观察+截止),动作,数量及口径,价格口径,最早执行时间,费用/滑点,预计净现金,资金可划转日,交易后持仓,交易后约束状态,失效/未成交后手,证据
R-01,2026-08-31 09:25前,证券A,8/28买入4000股已过T+1,核对券商可卖数量应=18000；若仍为14000则当日按14000执行,0(仅复核),22.40参考,2026-08-31 09:30,佣金/印花/过户/滑点按费用表,0,2026-08-31起,A总数量18000；可卖18000,可卖量确认,若券商未解冻，按14000上限执行并记录,
R-02,2026-08-31盘中,证券D,最佳买量>0且非跌停(有效买盘恢复),则在5%ADV上限=9000股内分笔卖出D；滑点按0.30%,"两日累计卖D<=10000(8/31卖<=9000,9/1卖剩余)",>=跌停价上方有效价,恢复当日9:35起,费用=佣2.5bp+印5bp+过0.1bp+滑30bp,按成交额计,成交后T+1日可划转,D剩余>=1000-已卖,高波动/电子下降,"方向自检:下跌打开买盘属流动性修复,非价格改善","若仍跌停零买盘->本规则不成立,D卖0"
R-03,2026-08-31盘中,证券D,仍跌停且买盘=0,"禁止挂单D,不计任何D可变现金额",0,-,-,-,0,-,D仍10000,"D敞口维持,压力损失按账面保守计",条件未成立不得记现金,
R-04,2026-08-31盘中,证券D,恢复交易但仅部分成交(买量<拟卖),"按实际成交记录;未成交部分转后手,不得把委托记为现金",实际成交<=9000,有效价,9:35起,同上,实成交计,T+1可划转,按实剩余,重新计算集中度,"部分成交->条件仅部分成立,不得记为完成"
R-05,复牌首日,证券C,复牌且出现有效报价,不得按15.20陈旧价假设成交;以盘口有效价重新测算;复牌跳空风险用STRESS-02(-20%)保守估,0(观察),复牌实际价,复牌9:35后,-,0,-,C仍8000,C账面不计现金,"若复牌首秒无成交,继续观望",
R-06,2026-08-31起,证券A,"单票A或高波动超限(未调整A=38.8%>27%,A+D=51.8%>30%)","在保留>=12000(soft)与hard冲突时,以hard为准卖出A:使A+D<=30%NAV;D不可成交时需卖A约10100~10900股",累计卖A至A+D市值<=0.30*NAV(基准持仓18000),">=20日均线参考,不追低",9:35起分笔,按费用表,按成交额,T+1可划转,A剩余=18000-累计,A单票/高波动/电子/压力同时下降,触发方向自检:A上涨使权重恶化->触发;下跌不触发本规则,"若客户坚持保留12000,须明示无法同时满足CON-04/05/06"
R-07,2026-08-31起,宽基ETF,ETF流动性正常但仅卖ETF,"允许卖ETF筹现,但不得声称高波动/电子集中已修复;高波动集中只能靠减A/D修复",ETF筹现份额,4.12参考,9:35起,ETF无印花税,按成交额,T+1可划转,ETF剩余,现金达标但A/D敞口维持,只卖ETF后必须在诊断表标注CON-04/05/06仍FAIL,
R-08,2026-08-28后,证券B,除息后价格7.86,"价格比较须加回0.30股息:总回报=(7.86-8.1021)*12500+3750;不得把机械除息当亏损;股息9/3到账晚于截止,不计入",0(比较口径),7.86,-,-,0,9/3到账,B仍12500,除息口径校正,PREF-04:除非必要不在股息前卖B,
R-09,执行日,全部可卖证券,"计划价较收盘跌5%/10%,或成交量不足/触5%ADV",跌价情景按调整后价格重算整手数量:ETF -5%需47100股/-10%需49700股;单日不超5%ADV;单笔最低佣金5元已计入,按重算股数,跌后有效价,9:35起,含最低佣金,按成交额,T+1,按实剩余,现金仍需>=260000,报价失效则该笔记0并转后手,
R-10,2026-09-01 15:00前,现金,届时可划转现金仍<260000,最后可执行校验:9/1卖出的净额9/2 09:00可划转;9/2盘中再卖已来不及(9/2卖出9/3才可划转),补足缺口所需整手,当日有效价,9/1 14:30前完成,按费用表,按成交额,9/2 09:00,按实剩余,现金必须达标,"若可卖标的已用尽仍不足,出具不可行性与缺口金额",
R-11,全程,全部,任何委托未成交/部分成交/资金未到可划转时点,"条件未成立或仅部分成立,该笔现金记0,不得记为已完成;转入下一个可执行交易日重算",0,-,-,-,0,-,-,,硬门,
