rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost,net_cash,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R01,9/21开盘前,"若LOT-03的3,000股已转可卖且8,960元应收到账、12元费用扣除已核实","则将可卖总数更新为24,000股并按新NAV区间复算；不把未到账资金计为已结算现金",0,新有效报价,2026-09-21 09:25,0.0,0.0,24000.0,待复算,任一记录未确认,获得券商正式快照,EV-SRC-001/002/003
R02,第1日,"若报价有效、非停牌/跌停且可成交价不低于20.80元、当日容量不少于9,000股","则提交卖出9,000股审批；不回补",9000,有效限价且>=20.80,2026-09-21 09:30,147.18089700000002,193511.894103,15000.0,约40.4%–40.5%，仍超35%,未成交/深度不足/报价过期,成交回报或收盘后,LIQ-001/PAR-004
R03,第2日,"若第1日9,000股已成交且新报价有效、容量仍不少于9,000股","则提交再卖9,000股审批；即使技术偏强也不回补",9000,当日有效价；若跌破20.80需客户确认软偏好让位,2026-09-22 09:30,147.18089700000002,193511.894103,6000.0,约16.2%，低于35%,前日未成交或硬约束复算改变,收盘后,PAR-004/DQ-SRC-007
R04,第3日,"若前两日累计卖18,000股且相关性校验仍通过","则提交卖3,600股审批，使剩余2,400股并将M风险贡献压至60%以内",3600,有效报价,2026-09-23 09:30,58.87235880000001,77404.7576412,2400.0,约6.5%,风险贡献参数失效或不可成交,成交后,PAR-006/CORR
R05,跌破偏好价,若价格跌破20.80元但仍可正常成交且硬约束尚未恢复,则暂停只因软价位而等待的做法，向客户说明偏好与硬风险冲突；获得确认/正式例外前仅提交风控必要净减仓,0,<20.80有效报价,触发后,0.0,0.0,,硬约束优先,客户未确认且无审批,每个有效报价时点,PAR-013/DQ-SRC-008
R06,不可成交,若跌停无买盘、停牌、报价过期或深度不足,则条件未成立，因此未执行；成交数和现金记0,0,不可成交状态,状态恢复后,0.0,0.0,,不虚计改善,委托未成交,状态恢复/复牌,RULE-06/07/SCN-003/004
R07,登记/除息,若9/23收盘仍持有股份,则仅按登记日实际持股形成0.10元/股未来应收；9/24起20.80卖价、20.80支撑和22.30压力机械下调至20.70、20.70、22.20,0,公司行动调整口径,2026-09-23收盘后,0.0,0.0,,不提前确认分红,登记日持仓未知,9/24开盘前,CA-003/EV-SRC-005/006
R08,分红支付,若9/30实际支付登记日应收,则计入已结算现金并复核30万元目标；此前不作为固定现金,0,到账凭证,2026-09-30,0.0,0.0,,现金目标复核,未到账,到账时,EV-SRC-009
R09,做T,"若硬风险已恢复、先卖可卖底仓不超2,000股、预期价差至少覆盖双边费税/滑点和0.30%缓冲（基准约>=0.16元/股）且现金>=50,000元",则最多部分回补已卖数量；日终不得高于日初,2000,先卖后买；实时重算阈值,风险恢复后,,,,全回补不改善净风险,无法确认回补价/先卖后上涨,每次回补前,PAR-008/010/011/FEE/SLIP/BUF
R10,10/9截止,若M权重、RC、最大压力损失或低风险资产目标任一未达标,"则拒绝维持原仓/加仓并升级风险例外审批；不得以保留12,000股偏好覆盖",0,截止日正式快照,2026-10-09收盘,0.0,0.0,,四项硬约束全过,任一未过,截止日前每日收盘,PAR-004/005/006/007
