rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost_cny,net_cash_cny,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R-01,全期前置,"2026-09-21开盘,证券M可正常交易且买盘存在(非停牌/非跌停无买盘)","卖出LOT-01底仓,按100股整数,单日不超过ADV5%=9000股,限价不低于当时买1",9000(阶段追加量;累计第1笔),正式收盘价/盘中买1价,2026-09-21 09:35,约438.33,约193511.67,15000,"卖后约45.8%NAV(仍>35%,仅第一阶段)",停牌/跌停无买盘/涨跌停封死/报价过期,次日开盘复核;若未成交转R-06,"LEDGER-001,LIQ-001,RULE-01~04"
R-02,全期前置,"2026-09-22开盘,前一日R-01已成交≥9000且证券M正常交易",继续卖出LOT-01/02底仓9000股,9000(阶段追加量;累计18000),当时买1价,2026-09-22 09:35,约438.33,约193511.67,6000,"卖后约27.2%NAV(权重达标,RC仍超限)",停牌/跌停/前一日未成交,次日开盘复核,"LEDGER-004,LIQ-001"
R-03,全期前置,"2026-09-23开盘(登记日),R-02已成交且证券M正常交易","卖出剩余3600股(含LOT-03解冻后部分),使累计净卖达21600股",3600(阶段追加量;累计21600),当时买1价,2026-09-23 09:35,约175.33,约77404.67,2400,6.47%NAV(权重/RC/压力全部达标),停牌/跌停/前两日累计未达18000,10-09前必须达成;未达成则每日补卖至满,"LEDGER-005,EV-SRC-005"
R-04,价格情景,2026-09-21起任一时点价格≥20.80元(除息后机械调至≥20.70元)且正常交易,"按R-01~R-03节奏执行;软卖价不构成保证,成交与否取决于当时买盘",按上述,当时买1价,按各日,按批次,按批次,按批次,按阶段,价格跌破20.80(除息后20.70),转R-05,"PAR-013,EV-SRC-006"
R-05,价格情景,价格跌破20.80元(除息后20.70元)但仍可交易(有买盘),"仍执行净减仓至21600股;软偏好让位硬风险约束,并当日通知客户确认",补足21600累计,当时买1价,按可交易时段,按当时价重算,按当时价重算,2400,≤7%,价格回升至20.80上方,下一日开盘复核,"DQ-008,PAR-012"
R-06,不可成交,触发计划卖出时证券M停牌或跌停无买盘(RULE-06/07),"不挂单成交;成交股数/现金记0,维持原持股,转入次日同一触发",0,无(不可成交),-,0,0,24000,维持64.6%超限,停牌结束/跌停打开,恢复交易后首日复核并顺延交易日,"RULE-06,RULE-07,SCN-003/004"
R-07,技术位,价格接近压力22.30(除息后22.20)且买盘充足,"可在ADV9000上限内逢压力位分批完成卖出,不因此延迟净减仓",不超过当日9000,卖1附近,按日,按批次,按批次,按阶段,按阶段,价格回落跌破支撑20.80,下一日按支撑/硬约束复核,TECH-SRC-001
R-08,技术位,价格跌破支撑20.80(除息后20.70)但未跌停,"技术偏强不能成为超限理由(DQ-007);仍按硬约束减仓,不因下跌回补",补足21600,当时买1价,按日,按批次,按批次,2400,≤7%,回升至支撑上方,次日复核,"DQ-007,TECH-SRC-001"
R-09,做T,"证券M已满足硬风险达标后(持股≤2400)或当日可卖底仓充足,且预期买卖价差≥0.24元/股覆盖双边费用+0.3%缓冲","先卖已有可卖底仓≤2000股,当日同价或更低回补≤已卖数量;日终持股≤日初",≤2000往返,卖买价差≥0.24,同一交易日,双边费用约97,T利润>0,≤日初,做T不改变风险预算,价差不足/跌停/无法确认回补价,"当日收盘前未回补即视为做T失败,不得次日加仓","PAR-010/011,BUF-01"
R-10,现金约束,任一时点已结算现金<50000元,"暂停一切买入/做T回补,只允许卖出;卖出资金T+1到账后复核",0(暂停买),-,-,0,0,24000,-,现金回升至50000以上,下一日复核,PAR-008
R-11,事件日历,"2026-09-23登记日收盘仍持有证券M,或2026-09-30分红到账",登记日前不把未来0.10元/股分红确认为固定应收;除息后所有价格触发线机械下调0.10元,0(记录),-,2026-09-24,-,-,按实际,-,-,分红按到账日单列,"EV-SRC-005/006/009,DQ-009"
R-12,截止复核,"2026-10-09收盘前,累计净卖未达21600或任一硬约束未达标","剩余可卖股数全部按ADV上限补卖,直至权重≤35%且RC≤60%;仍不可成交则列未决",补足21600,当时买1价,最后可交易日,按当时,按当时,2400,≤7%,-,截止日复核,PAR-004/005/006/007
