rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost,net_cash,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R01,阶段1-9/21,"2026-09-21 09:30后,交易状态NORMAL且非跌停/停牌,且限价卖价>=20.70(除息前软价20.80)","限价卖出LOT-01可卖底仓,ADV上限9000股,未成交不追单",9000,限价>=20.80(盘口ask1),2026-09-21 09:35:00,438.33,193511.67,15000,0.53-0.55,跌停无买盘/停牌/报价过期/5分钟未成交,转R07;成交后复核可卖余量与现金>=50000,RULE-01;PAR-009;LIQ-001
R02,阶段2-9/22,"R01已成交,9/22 NORMAL且卖价>=20.80","限价卖出9000股(先LOT-01余0,再LOT-02),现金T+1可划",9000,限价>=20.80,2026-09-22 09:35:00,438.33,193511.67,6000,0.27-0.29,未成交/跌停/停牌,转R07;按已成交股数重算缺口,RULE-04;PAR-009
R03,阶段3-9/23,"R01+R02累计18000,且当日收盘前M风险贡献仍>0.60(或权重>0.35)","补卖3600股LOT-02/03,使累计21600、余2400,达标硬约束",3600,限价>=20.80,2026-09-23 14:30:00,175.33,77404.67,2400,0.06-0.07,未成交/跌停/停牌,"转R07;登记日收盘持股定0.10分红,勿提前入账",PAR-006;PAR-004;EV-005
R04,全程,"价格上行接近技术压力22.30或趋势延续(SCN-UP,+7%)","不推迟/不回补;维持R01-R03网格减仓,技术偏强不覆盖硬约束",按R01-03,当时盘口,按R01-03,随成交,随成交,2400,按R03,不适用(本规则只禁止拖延),成交后当日收盘复核RC,TECH-001;DQ-007
R05,全程,价格位于支撑20.80与现价21.55之间且NORMAL,"照常执行R01-R03,不因小幅回撤停手",按R01-03,当时盘口,按R01-03,随成交,随成交,按R03,按R03,跌破20.80且不可交易转R07,收盘复核,TECH-001
R06,下行情景,"价格跌破软价20.80但仍可连续交易(NORMAL,无跌停)",硬约束优先于软价:继续按网格减至达标;20.80非止损保证。执行前须取得客户放弃软价偏好的确认(待确认),"按网格重算(价跌则同股数回款少,需多卖)",限价>=当时跌停价,次一交易日09:35,随价,随价,按达标重算,<=0.07,客户拒绝放弃软价→冻结卖出并升级,次日开盘按当时价反解达标数量,PAR-013;DQ-008
R07,不可成交,跌停无买盘/停牌/报价过期/盘口深度不足,"当次成交股数=0,现金=0,持仓=24000;不挂单假设成交,不把委托计为现金",0,不可报价,不可执行,0.00,0.00,24000,0.6457(无法评估交易后),复牌/打开跌停,下一交易日09:35按当时价与ADV重算,RULE-06;RULE-07;SCN-003/004
R08,除息调整,2026-09-24除息(每股0.10),"所有以原始价表达的触发线机械下调0.10(软价20.80→20.70,支撑20.80→20.70);除息参考价不作成本",0,-,2026-09-24 09:30,-,-,不变,-,-,除息当日开盘前核对,CA-003;EV-006
R09,做T,"仅当R03已使M权重<=0.35且RC<=0.60后;先卖可卖底仓,同日回补不超过已卖,日终持股<=日初;往返<=2000股且<=ADV;卖价-回补价>=0.702%(双边费+印花税+双边滑点+0.3%缓冲)","满足则卖后当日回补;不满足(价差不足/先卖后涨)则不回补=净减仓,禁止追加买入",<=2000,卖价>回补价0.151以上,"同一交易日,14:50前完成回补",双边按费率,回补后现金>=50000,<=日初,不上升,跌停/停牌/无法确认回补价/价差不足→不回补,当日收盘复核现金与持股,PAR-010;PAR-011;BUF-01
R10,分红,2026-09-23登记日收盘持股,0.10/股分红不得在登记日前确认为固定应收;9/30到账金额=登记日实际持股*0.10,0,-,2026-09-30,-,按登记持股,不变,-,-,9/30入账后复核现金,CA-003;DQ-009;EV-009
R11,现金底线,任何买入/做T回补前,已结算现金(含在途净应收)>=50000;卖出回款T+1才可对外划转,约束检查,-,下单前,-,-,-,-,现金<50000→禁止回补,实时复核,PAR-008;RULE-04
R12,截止复核,2026-10-09前,"若M权重/RC/压力/30万低风险资产任一未达标,写明缺口股数与最早可达标日;达标则停止卖出",按缺口重算,-,2026-10-09收盘,-,-,按达标,按达标,"仍超限→禁止加仓/做T,继续减",每日收盘,PAR-004/005/006/007;EV-010
