rule_id,stage,applicable_date_range,target_symbol,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost_cny,estimated_net_cash_cny,post_trade_shares,post_trade_weight_range_pct,post_trade_risk_contrib_assessment,invalidation,review_trigger,constraint_dependencies,evidence_ids
R01,PREP_2026-09-21,2026-09-21,SYN100.SZ,"currently_held_shares=24000 AND frozen_today_buy=3000 (LOT-03, T+1) AND as_of=2026-09-18 15:30","更新组合视图: 2026-09-21 开盘后，可卖股数=24,000 (LOT-03 解冻, EV-001)。仅在9/21 及之后执行卖出动作。9/18、9/19、9/20 不开市。",0,n/a (action=information_update_only),2026-09-21 09:30:00 Asia/Shanghai,0.0,0.0,24000,64.40-64.57,"95.40% (持稳, 仅视图更新)",n/a,9/21 09:25 集合竞价前确认 LOT-03 状态,"PAR-003 (scope), PAR-010 (T约束), RULE-01 (T+1), RULE-03 (100股取整)",EV-SRC-001; LEDGER-005; RULE-01; PAR-003/010; DQ-006
R02,SETTLE_2026-09-21,2026-09-21,ACCOUNT_CASH,"as_of_date=2026-09-21 AND 应收8,960元已结算(RECV-SETTLE) AND 应付费用12元已划转(FEE-PAY) AND 未授权赎回基金","将 8,960 元结算应收正式划转到已结算现金; 当日已结算现金目标 ≥ 81,448 元 (含原72,500 + 8,960 - 12)。已结算+可赎回低风险资产当前 ≈ 81,448元 (不含短债基金 120,000 元因未授权).",0,n/a,2026-09-21 09:00:00 Asia/Shanghai,0.0,8960,n/a,n/a,n/a,"若 9/21 09:00 应收未到账, 则 R02 标记 FAIL, 调整 R03 目标卖出数量.",9/21 09:00 现金余额检查,"PAR-007 (300,000硬约束), PAR-008 (50,000底)",EV-SRC-002/003; AST-005/007; PAR-007/008
R03,REDUCE_2026-09-21,2026-09-21,SYN100.SZ,"as_of_date=2026-09-21 AND 可卖股数=24,000 AND 当前价 ∈ [20.80, 23.43] AND trade_status=NORMAL AND 5% ADV 上限=9,000股/日","市价卖出 2,000 股 (100股整数倍), 不超过日ADV上限, 不超过 5% 软偏好. 卖出前确认: 当前权重 >35%, 必须减仓以满足 PAR-004. 卖出后权重下降到 ≈ 59.18% (按 NAV=801,048 口径).",2000,"21.55 (MKT-OFFICIAL-001 收盘, 软底线 20.80元未被突破假设)",2026-09-21 09:30:00 Asia/Shanghai,97.41,43002.59,22000,59.18-59.30,"≈95% (减仓5,000股内变动较小)",跌停无买盘: RULE-06 不允许按当前价格成交 → 失效; 改由 R12 (跌停无买盘) 处理,"9/21 14:00 检查实际成交; 如未成交, 9/22 重新评估",PAR-004 (>35% 必须减); PAR-009 (5% ADV); RULE-03 (100股取整); DQ-005 (排除future data),MKT-OFFICIAL-001; LIQ-001; PAR-004; RULE-03/06; DQ-005
R04,REDUCE_2026-09-22,2026-09-22,SYN100.SZ,"as_of_date=2026-09-22 AND 持仓 ≥ 22,000 股 AND 当前权重>35% AND 价 ≥ 20.80 (软底线) AND 5% ADV 上限仍适用","市价卖出 2,000 股, 净现金 ≈ 43,002.59 元, 持仓降至 20,000 股, 权重降至 ≈ 53.80%",2000,"21.55 (假设连续交易, 收盘价不晚于 2026-09-22 15:00)",2026-09-22 09:30:00 Asia/Shanghai,97.41,43002.59,20000,53.80-53.92,"≈90% (置信因边际下降, 因 w_SYN 仍高)","若登记日 9/23 前权重仍未 < 35%, R05 触发更激进卖出",9/22 收盘后,PAR-004; PAR-009,MKT-OFFICIAL-001; PAR-004/009
R05,DIV_RECORD_2026-09-23,2026-09-23,SYN100.SZ,"as_of_date=2026-09-23 AND 持仓 >= 20,000 股 AND 当前权重仍 > 35% AND 价 ≥ 20.80","市价卖出 1,500 股. 注意: 当日为股权登记日(EV-005), 当日 15:00 收盘持仓决定 9/30 分红资格 (每股 0.10 元). 如时间允许，9/30 分红计入现金, 已结算现金 + 低风险资产目标 ≥ 300,000元的达成日期可提前.",1500,"21.55 (暂估, 实际视当日开盘)",2026-09-23 09:30:00 Asia/Shanghai,73.05,32251.95,18500,49.77-49.88,边际下降,"若当日跌停无买盘, 改由 R12 / R13 处理; 9/30 分红资格 按 实际登记日 15:00 收盘持仓 计算",9/23 15:00 实际成交 + 登记日持仓确认,"PAR-004; PAR-007 (300,000目标); EV-SRC-005/009; DQ-009 (跨登记日)",EV-005; CA-003; LEDGER-005; PAR-007
R06,EX_DIV_2026-09-24,2026-09-24,SYN100.SZ,as_of_date=2026-09-24 AND 除息事件触发 (CA-FUT-01: -0.10 CNY/股) AND 价格触发线必须机械下调,"市价卖出 1,500 股. 同时将客户 20.80 软偏好卖价基准向下调整 0.10 = 20.70 (机械调整, 因除息压低理论价). 后续日期若价格观察 < 20.70, 视为破软底线.",1500,"21.45 (= 21.55 - 0.10 机械调整; 若实际开盘价 < 该基准, 不在此规则下卖出)",2026-09-24 09:30:00 Asia/Shanghai,71.99,32105.51,17000,45.55-45.73,≈88%,"若当日仍为跌停无买盘, 改由 R12","9/24 收盘后, 同时确认 20.80 → 20.70 调整的内部记录",PAR-013 (软底线); EV-SRC-006; CA-003,EV-006; CA-003; PAR-013
R07,INCOMING_2026-09-25,2026-09-25,ACCOUNT_CASH,"as_of_date=2026-09-25 AND 2,400 CNY 应收(RECV-OTHER, 基金分配) 已可划转","将 2,400 CNY 正式纳入可结算现金; 当日已结算现金 ≈ 83,848 (72,500 + 8,960 - 12 + 2,400 = 83,848); 已结算 + 低风险资产 ≈ 83,848 (短债 120,000 仍须独立授权).",0,n/a,2026-09-25 09:00:00 Asia/Shanghai,0.0,2400,n/a,n/a,n/a,"若当日应收延后, 标记 FAIL",9/25 09:00,"PAR-007 (300,000硬约束进度)",EV-SRC-007; AST-006
R08,CONTINUE_REDUCE_2026-09-25,2026-09-25,SYN100.SZ,as_of_date=2026-09-25 AND 当前权重 > 35% AND 价 ≥ 20.70 (除息后软底线),"市价卖出 1,500 股. 持仓降至 15,500 股; 权重 ≈ 41.69% (按 NAV 801,048 口径) → 仍超 35%, 后续需继续减仓",1500,21.45 (除息后调整),2026-09-25 09:30:00 Asia/Shanghai,71.99,32105.51,15500,41.69-41.78,≈82%,"如跌停, R12",9/25 收盘,PAR-004,EV-SRC-007; PAR-004
R09,CONTINUE_REDUCE_2026-09-28,2026-09-28,SYN100.SZ,"as_of_date=2026-09-28 AND 当前权重 > 35% (估算持仓 ≥ 14,000股 仍超 35%)","市价卖出 1,500 股, 持仓降至 14,000 股, 权重 ≈ 37.66%",1500,21.55 或更优价位 (取决于当时),2026-09-28 09:30:00 Asia/Shanghai,73.05,32251.95,14000,37.66-37.75,≈76%,跌停无买盘: R12,9/28 收盘后检查累计减仓进度,PAR-004,PAR-004
R10,CONTINUE_REDUCE_2026-09-29,2026-09-29,SYN100.SZ,"as_of_date=2026-09-29 AND 当前权重 > 35% (估算持仓 >= 12,500)","市价卖出 1,500 股, 持仓降至 12,500 股, 权重 ≈ 33.63% (首次满足 ≤35%, 但风险贡献仍可能超 60%; 后续必须保持)",1500,21.55,2026-09-29 09:30:00 Asia/Shanghai,73.05,32251.95,12500,33.63-33.71,≈72%,跌停无买盘: R12,9/29 收盘,PAR-004 达标; PAR-006 仍待评估,PAR-004
