规则号,适用日期/时段,触发条件(可观察),方向自检,动作,数量(股),数量口径,价格口径,费用与滑点,预计净回笼,资金可划转日,交易后持仓,交易后约束状态,未成交后手,失效条件,复核时点
R01,2026-08-31 09:30前,券商显示证券A可卖数量=18000(含当日买4000解冻),"确认T+1解冻, 不依赖未来价格",按方案3限价卖出证券A,10100,累计总卖出量(基准18000),限价不低于22.35(参考收盘22.40减0.002),佣金56.56+印花税113.12+过户费2.26+滑点113.12=285.06,225954.94,2026-09-01 09:00,A剩余7900股,"A权重→17%, 高波动→30%临界","若未成交或部分成交: 记录实际成交, 9/1开盘按R02补",9/1 09:00,9/1 09:30复核成交回报
R02,2026-08-31 09:30-14:30,R01部分成交或未成交,补足至目标卖出量10100股,补卖证券A(若R01成交<10100),差额,本阶段追加量(基准R01已成交量),同R01,按实际成交量重算,按实际成交量,2026-09-01 09:00,A剩余=18000-累计卖出,"若仍不足, 9/1按R04补卖ETF",9/1 09:00,9/1 09:30
R03,2026-08-31 09:30-14:30,证券A卖出委托已下单后,"ETF流动性好, 不影响A卖出",按方案3限价卖出ETF,28400,累计总卖出量(基准50000),限价不低于4.115(参考收盘4.12减0.0005),佣金23.40+印花税0+过户费0+滑点23.40=46.80,116961.24,2026-09-01 09:00,ETF剩余21600股,股票仓位→59.71%,若未成交: 9/1开盘补卖,9/1 09:00,9/1 09:30
R04,2026-09-01 09:30-14:00,9/1 09:00可划转现金<260000,"现金不足才补卖, 条件恶化时触发",补卖ETF至可划转现金≥260000,差额整手100股,本阶段追加量,限价不低于9/1市价-0.0005,按实际量重算佣金(最低5元),补足差额,2026-09-02 09:00,ETF剩余相应减少,"若9/1仍无法成交: 不可行, 需客户确认是否放弃部分软偏好",9/1 14:00,9/1 14:30复核
R05,2026-08-31至9/1,证券D出现有效买盘且跌停打开,"D恢复交易才考虑卖, 改善高波动暴露",优先卖出证券D替代部分A减仓,最多10000,条件触发(非计划),"参考当时买价, 滑点0.003",佣金33.75+印花税67.50+过户费1.35+滑点405=507.60,134492.4,成交次日09:00,D剩余0~对应量,"若D可卖, 可减少A卖出量至6000(保留12000)",若D仍跌停: 不执行,D再次跌停或无买盘,每日开盘后30分钟
R06,2026-08-31至9/1,证券C复牌且有成交,"C复牌后价格可能跳空, 不得按15.20假设",不主动挂单卖出C,0,0(观察),以复牌后首次成交价为准,不适用,0,不适用,C维持8000股,复牌首日不纳入可变现资金,若复牌大涨且需筹现: 次日再评估,C再次停牌,复牌后连续3日
R07,2026-08-31至9/1,证券A技术偏强但单票权重>27%,技术偏强不改变hard约束,仍按R01执行减仓,10100,同R01,同R01,同R01,225954.94,2026-09-01 09:00,A剩余7900,技术偏强不突破CON-03,若客户坚持保留12000: 见R08,无(hard约束),9/1 09:30
R08,2026-09-01 14:00前,客户确认可接受A<12000股,"PREF-01为soft, 不覆盖hard",按R01执行10100股A卖出,10100,累计总卖出量,同R01,同R01,225954.94,2026-09-01 09:00,A剩余7900,全部hard约束达标,"若客户拒绝: 高波动约束无法在D不可卖时达标, 需明确告知",客户书面确认,9/1 14:00
R09,2026-09-01 14:30前,任何委托未成交或部分成交,未成交不得记为已完成,记录实际成交数量和金额,0,0,不适用,不适用,0,不适用,按实际持仓,条件未成立不得标记完成,按R04/R02补足,9/2 10:00截止,9/1 14:30
R10,2026-09-02 09:00-10:00,"9/1卖出款已到账, 可划转现金≥260000",到账确认后才满足,"不操作, 不划款",0,0,不适用,不适用,0,不适用,持仓不变,CON-01达标,不执行划款(非授权),9/2 10:00,9/2 09:30
R11,2026-08-31至9/1,单日卖出量>ADV的5%,ADV上限为hard约束,拆分为两日执行,0,0,不适用,不适用,0,不适用,不适用,当前计划量远低于5%ADV,若触发: 拆分,无,每日收盘后
