rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost,net_cash,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R01,2026-09-21 解冻/到账,"2026-09-21 09:30 SYN100.SZ 正常交易且 LOT-03 3000股转为可卖(EV-001),8960元结算应收到账(EV-002),12元应付划扣(EV-003)","不主动交易;将可卖底仓更新为24000股,现金更新为72500+8960-12=81448;确认无当日新增买入",0,无,2026-09-21 09:35,0.00,0.00,24000,0.6440~0.6457,若9/21停牌则本条推迟至复牌首日,复牌后首个开盘30分钟,"EV-SRC-001/002/003,DQ-006"
R02,D1 2026-09-21 主减仓第一批,SYN100.SZ NORMAL 且 9:35后任意卖一价≥20.80元 且 当日累计卖出未达9000股ADV上限,"以限价(不低于20.80)卖出,当日最多9000股;优先卖可卖底仓LOT-01/LOT-02,不先卖LOT-03",9000,"限价≥20.80,参考收盘21.55;滑点按0.15%",2026-09-21 09:35,535.73(9000股@21.55含佣金/过户/印花/滑点),193511.67,15000,约0.4080~0.4100(明细NAV口径),"若9:35前已跌停无买盘或停牌则本条不执行,转R07/R08;未成交部分不顺延累加至超过ADV",当日14:50复核成交股数与净回笼,"PAR-009/PAR-013,MKT-OFFICIAL-001,LIQ-001,FEE-*"
R03,D2 2026-09-22 主减仓第二批,R02成交≥9000股 且 SYN100.SZ NORMAL 且 卖一价≥20.80 且 累计净卖出未达11000股,"卖出2000股使累计净卖出=11000股;完成后持股13000股,权重压至≤35%",2000,"限价≥20.80,参考21.55",2026-09-22 09:35,97.41(2000股@21.55),43002.59,13000,0.349963(明细NAV);0.3493(账单NAV),若R02成交不足9000则本条补足至9000上限后剩余顺延下一交易日;若价格<20.80转R04,成交后立即重算权重/RC/压力,"PAR-004/PAR-005,BRK-POS-001"
R04,D1起 价格跌破20.80,SYN100.SZ NORMAL 且 卖一价<20.80元(除息后阈值机械下调0.10即<20.70),"不取消减仓;按当时市价反解使权重≤35%所需整手股数(21.55需11000,20.80需10600),在9000股/日ADV内分批执行;软卖价偏好让位硬约束","动态=ceil(所需股数/100)*100,基准20.80为10600","市价或贴卖一限价,滑点0.15%~0.40%深度恶化时用0.40%",价格触发后下一可执行时点,按成交重算,按成交重算,13400(20.80情景),≤0.3500,"若价格跌停无买盘转R07;不得以""还没到20.80""为由不卖",每日开盘后30分钟重算,"PAR-013/DQ-008,TECH-SRC-001"
R05,全期 技术位辅助,价格逼近日线压力22.30(除息后22.20)或跌破日线支撑20.80(除息后20.70),仅作为分批节奏参考:临近压力可将当日9000股分2笔挂出;跌破支撑不取消减仓;技术偏强不得成为加仓或取消R02/R03的理由,0(仅节奏),"close_raw vs support/residual,除息后机械-0.10",盘中实时,0,0,13000,不变,若硬约束已达标(权重≤35%)则技术信号不触发新交易,每日收盘后,TECH-SRC-001/DQ-007
R06,全期 成交深度恶化,"买卖价差>0.4%或5档深度<题设水平,按STRESS滑点0.40%而非0.15%估算",当日卖出股数仍受9000股ADV上限;单笔挂单不超过5档可见深度的1/2;未成交部分不追价,≤9000,贴卖一/买一;滑点0.40%,触发当日,按0.40%重算,按0.40%重算,按成交,按成交重算,"若买一量<100股视为近似跌停,转R07",盘口每15分钟,"LIQ-001,SLIP-02"
R07,D1 跌停无买盘,SYN100.SZ 跌停且买一=0/无量(LIMIT_DOWN_NO_BID),不挂单不成交;现金记0;当日净卖出=0;持仓仍24000;次日跳空-5%后按R04重算所需股数,0,"无买盘,禁止把委托当成交",不可执行,0(未成交),0(未成交),24000,0.6440~0.6457(不变),若连续跌停每日复核;不得在跌停板挂大单制造成交假象,跌停打开后下一开盘,"SCN-003,RULE-06"
R08,D1-D3 停牌,SYN100.SZ SUSPENDED_3_TRADING_DAYS,不可交易;不挂单;不计算卖出现金;复牌后按复牌价重新反解权重/压力/RC,0,停牌无价,不可执行,0,0,24000,0.6440~0.6457(不变),"复牌首日若跳空-12%且仍>35%权重,当日在ADV内启动减仓;除息0.10与跳空叠加须重算",复牌首日开盘,"SCN-004,RULE-07"
R09,全期 执行约束,任一交易日,单日计划卖出≤9000股(5%ADV20=180000);卖出按100股整手;当日买入不可卖;卖出现金T+1方可对外划转;任一时点已结算现金≥50000,"≤9000/日,100股整数倍",收盘价/限价,T+1资金到账日,按费表逐笔,按净回笼,≤24000,按成交重算,若卖出后结算现金<50000则缩减当日卖量;短债120000未授权赎回不得计入卖出动作,每日结算后,"RULE-01~04,PAR-008,PAR-009"
R10,2026-09-23~30 分红事件,9/23为股权登记日;9/24除息每股0.10;9/30红利支付,9/23收盘前不把未来分红确认为应收;9/24起所有价格触发线(20.80/支撑20.80/压力22.30)机械下调0.10元;9/30到账金额=登记日实际持股×0.10(主情景13000×0.10=1300),0,除息后参考价=除息前价-0.10,2026-09-24 09:30,0,0,13000,除息日权重机械重算,"若9/23前已完成R02/R03,登记日持股=13000;若减仓推迟导致持股不同,分红额按实际持股重算",9/24开盘前/9/30到账后,"CA-003,EV-005/006/009,DQ-009"
