项目,方案1-偏好优先,方案2-流动性优先,方案3-风险预算优先
核心策略,"保留≥12000股A, 卖A+ETF","全卖ETF筹现, 控制无法成交风险","卖A+ETF满足全部硬约束, A保留7900股"
卖出A(股),6000,0,10100
卖出ETF(股),12100,44700,28400
卖出B(股),0,0,0
卖出D(股),0,0,0
卖出C(股),0,0,0
最早执行日,2026-08-31,2026-08-31,2026-08-31
预计成交价(口径),收盘价22.40/4.12,收盘价4.12,收盘价22.40/4.12
佣金(元),94.64,22.101,165.935,"  # 估算, 见明细"
总费用(元),189.28,73.67,331.87
预计净回笼(元),184062.72,184090.33,342916.13
资金可划转日,2026-09-01 09:00,2026-09-01 09:00,2026-09-01 09:00
交易后A剩余(股),12000,18000,7900
交易后ETF剩余(股),37900,5300,21600
交易后NAV(元),1039860.72,1039976.33,1039718.13
交易后A权重,0.258496,0.387701,0.1702
交易后股票仓位,0.749906,0.749908,0.5970869999999999
交易后高波动权重,0.388321,0.517512,0.30004299999999995
交易后电子权重,0.388321,0.517512,0.30004299999999995
交易后可划转现金,260048.54,260076.15,418901.95
组合年化波动率,未重算,未重算,0.189113
最不利压力损失率,0.10469,0.116317,0.09008
CON-01现金(>=260000),达标260048.54,达标260076.15,达标418901.95
CON-02仓位(<=75%),达标74.99%,达标75.00%,达标59.71%
CON-03单票A(<=27%),达标25.85%,超限38.77%,达标17.02%
CON-04高波动(<=30%),超限38.83%,超限51.75%,达标30.00%
CON-05电子(<=32%),超限38.83%,超限51.75%,达标30.00%
CON-06压力(<=9%),超限10.47%,超限11.63%,达标9.01%
CON-07风险贡献(<=55%),达标(A已降),未重算(超限),达标(最大RC=39.79%)
CON-08 ADV参与率,"A=0.42%,E=0.08%",E=0.30%,"A=0.42%,E=0.19%"
与PREF-01冲突,保留12000股=满足偏好,保留18000股=满足偏好,保留7900股=违反偏好(需客户确认)
与PREF-04冲突,未卖B=满足,未卖B=满足,未卖B=满足
实现盈亏(估算),盈利,微利,盈利约31128.20元(FIFO: A旧批次低成本+ETF微利)

=== 成交失败情景 ===
情景,可净回笼上限,现金目标184014.18,结论
"D继续跌停零买盘, A/B/E正常",706725.95,需184014.18,可行: 卖A+ETF即可
D恢复有效买盘,841218.35,需184014.18,可行: 可优先卖D替代部分A
"主要证券跌5%, D不恢复",671389.65,需184014.18,可行但费用占比上升
"主要证券跌10%, D不恢复",636053.35,需184014.18,可行但需多卖约10-15%股数
