rule_id,applicable_time,object,if_condition,then_action,quantity,price_basis,earliest_execution,fees_and_slippage_CNY,estimated_net_cash_CNY,transferable_date,post_trade_constraint_state,invalidation_condition,review_time,source_ids
R01,2026-08-31 09:00-09:25,证券A,if 券商显示A总数量18000且可卖数量已由14000更新为18000,then 才允许启动后续A卖出规则；否则卖出上限取券商当时可卖数量且补足方案重算,0,账户状态，不使用价格,2026-08-31 09:30,0,0,不适用,不改变,可卖数量未更新或账户冻结异常,2026-08-31 09:25,BRK-POS-01|BRK-TRD-03|OPS-02|CAL-SRC-03
R02,2026-08-31 09:30-14:45,证券D,if D恢复有效买盘、最佳买价支持估算成交价13.4595附近且可成交量≥5900,then 偏好优先路径卖出5900股；限价以当时有效买价为准，不低于客户确认底价,5900,13.4595为13.50扣0.30%滑点的研究价,2026-08-31,佣金19.85+印花39.71+过户0.79；滑点238.95,79350.70,2026-09-01 09:00,D剩4100；与A卖6700配套后全部hard满足,买盘消失、仅部分成交或报价无法接受,每笔回报后及14:45,MKT-SRC-04|SLIP-04|OPS-01|OPS-04
R03,2026-08-31 09:30-14:45,证券A,if R01成立且D可按R02成交5900股,then 卖出A 6700股；不得因技术偏强取消hard整改,6700,22.3888为22.40扣0.05%滑点,2026-08-31,佣金37.50+印花75.00+过户1.50；滑点75.04,149890.96,2026-09-01 09:00,A剩11300；风险资产70.72%(statement)，高波动29.71%，最大RC54.84%，最坏压力8.73%,A报价低于20.16或D未按计划成交，切换R04/R05并重算,成交后立即,MKT-SRC-01|SLIP-01|POLICY-02|POLICY-03|POLICY-06
R04,2026-08-31 09:30-14:45,证券D+证券A,if D仅成交3000股,then A累计卖出8500股；不得把D剩余委托计入现金,D 3000；A 8500,D 13.4595、A 22.3888研究价,2026-08-31,合计费用及滑点392.02,230507.98,2026-09-01 09:00,A剩9500、D剩7000；全部hard满足,任一委托部分成交则用实际数量重新计算；未成交部分失效,14:45及收盘后,MKT-SRC-04|OPS-04|recalculation
R05,2026-08-31 09:30-14:45,证券A,if D持续跌停零买盘或截至14:45成交为0，且A可成交价不低于20.16（较22.40低10%）,then 采用流动性优先路径卖出A 13900股；100股整数倍且不超过5%ADV,13900,基准22.3888；另检验-5%与-10%价格,2026-08-31,基准佣金77.80+印花155.60+过户3.11；滑点155.68,基准310967.80；-5%约295419.41；-10%约279871.02,2026-09-01 09:00,基准A剩4100；全部hard满足，最坏压力8.9884%,A报价低于20.16、成交量不足或部分成交；触发R09按实际净额补足并全量重算,每笔回报后及14:45,MKT-SRC-01|MKT-SRC-04|OPS-04|CLIENT-01
R06,2026-08-31至2026-09-01,证券D,if D恢复但单日拟成交量达到9000股（5%ADV）,then 当日最多卖9000股，剩余最多1000股在下一交易日重新确认买盘后卖出,9000+1000,13.4595研究价；第二日按新报价,2026-08-31；2026-09-01,两笔最低佣金规则分别计算,9000股121043.44；1000股13447.64,分别2026-09-01及2026-09-02 09:00,风险预算方案D最终为0,第二日零买盘则1000股不成交且不得记现金,2026-09-01开盘及收盘,MKT-SRC-04|OPS-01|OPS-04|FEE-01
R07,2026-08-31至2026-09-01,证券C,if C继续停牌,then 不下卖单、可执行数量记0、可变现现金记0,0,15.20仅停牌前账面价,未知,0,0,不适用,C保持8000,交易所公告确认复牌后该规则失效,每次公告后,EXCH-CA-02|MKT-SRC-03
R08,复牌首日,证券C,if C复牌且取得有效买价、买量，并且重算后现金或hard约束仍有缺口,then 仅在新报价下按100股取整计算所需卖量，单日不超过42500股；本题不预填唯一成交价或现金,按缺口公式，最多8000,必须用复牌实时有效报价；不得用15.20陈旧价,复牌后,"佣金max(5,0.025%)+印花0.05%+过户0.001%；滑点待确认",只有实际成交后计算,成交次日09:00,按实际成交重算,无有效报价、跌停无买盘、滑点缺失或缺口已由A/D解决,复牌后每笔回报,EXCH-CA-02|LIQ-03|OPS-01|OPS-04
R09,2026-08-31 14:45与2026-09-01 14:30,宽基ETF,if 已实际成交并可在截止前结算的净额仍低于184014.18元缺口,then 按公式ceil[(现金缺口/每份税费后净收入)/100]×100卖出ETF，且不超过50000份；基准现金单独筹足需44700份，-5%需47100份，-10%需49700份,动态；基准44700/-5% 47100/-10% 49700,基准4.119176；-5% 3.9132172；-10% 3.7072584,最晚2026-09-01成交,ETF佣金0.02%最低5，无印花；滑点0.02%,基准44700份净184090.34；-5% 47100份净184275.67；-10% 49700份净184213.89,成交次日09:00,只修现金和部分总仓位；必须同时验证A+D高波动/电子及压力,达到所需净额即撤余单；若ETF-only则不得声称全部hard已修复,每笔回报后,MKT-SRC-05|FEE-04|SLIP-05|CLIENT-01
R10,2026-08-31至2026-09-01,证券B,if 其他可执行路径不能补足现金且B有有效报价,then 先以7.86+0.30=8.16总回报参考核对，不把除息机械下跌当亏损；按现金缺口计算100股整数卖量,动态，最多12500,7.855284为当前价扣0.06%滑点研究值,成交日,"佣金max(5,0.025%)+印花0.05%+过户0.001%；滑点0.06%",按实际数量计算,成交次日09:00,现金改善但不直接修复A+D集中,若A/D/ETF已满足现金或报价异常则撤销；股息3750仍于9/3到账且不计截止现金,下单前与成交后,MKT-SRC-02|ISSUER-CA-01|CLIENT-06
