rule_id,stage,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost,net_cash,post_trade_shares,post_trade_weight_range,invalidation,review_trigger,evidence_ids
R01,TD1 09-21 Mon,"开盘后 LOT-03(3000)解冻可卖; settled receivable 8960到账, fee 12扣减; 若 SYN 正式价 >=20.80 且非跌停/停牌","限价卖出(先 LOT-03 3000, 再 LOT-02 6000), 单日合计<=9000(ADV)",9000,">=20.80, 上限23.70; 限价挂单不追",2026-09-21 09:35,438.33,+193511.67,15000,40.0%-41.5%,成交未达9000则按实际成交计; 跌停无买盘/停牌->不执行转R06/R07,次日开盘复核 weight 仍>35%,LEDGER-005/EV-001/002/003/PAR-009/013
R02,TD2 09-22 Tue,若 TD1 后持股仍>13000(weight仍>35%) 且价>=20.80 且可成交,"限价补卖, 累计卖至11000(本日+2000)",2000(累计11000),>=20.80,2026-09-22 09:35,97.41,+43002.59,13000,34.8%-35.2%,TD1已卖满11000则本日不执行; 跌停->R06,收盘复核 weight<=35% 与 RC,PAR-004/RULE-03
R03,TD3 09-23 record date,登记日: 不主动卖出以免资格误判; 持股13000持有至收盘,无交易(不新增减仓),0,-,-,0,0,13000,~35%,若需加速减仓可卖但放弃对应分红(0.10/股),收盘确认登记持仓,EV-005/CA-FUT-01/DQ-009
R04,TD4 09-24 ex-div,"除息后绝对价格触发线机械下调0.10: 软卖价20.80->20.70, 支撑20.80->20.70, 压力22.30->22.20",按新触发线执行; 不把0.10分红确认为固定应收,0(校准),"floor=20.70, resist=22.20",2026-09-24 09:25,-,-,13000,~35%,若仍未达11000则按R02在20.70以上继续卖,开盘价与除息缺口核对,EV-006/CA-FUT-01/DQ-009
R05,09-30 pay date,"0.10/股分红仅在09-23登记持仓=13000时实收约1300, T+1到账","到账后计入现金, 不提前确认",-,0.10x13000=1300,2026-09-30,-,+~1300,13000,~35%,若登记前已减至<13000则按实际登记股数,到账复核现金,EV-009/LEDGER口径
R06,不可成交-跌停,日 SYN 跌停无买盘(limit_down_no_bid),"不挂市价; 委托数量与现金记0, 不执行任何卖出/回补",0,无买盘不可报价,-,0,0(未成交),unchanged,unchanged,次日若非跌停则按R01/R02剩余数量继续,下一可成交日开盘,RULE-06/SCN-DOWN
R07,不可成交-停牌/复牌,停牌中或复牌首日跳空: 不按理论价成交; 复牌首个非跌停日按盘口限价卖,0(停牌期),复牌日按剩余至11000的缺口卖,复牌实际买价,复牌日 09:35,按实际,按实际,目标13000,目标<=35%,"复牌仍跌停->继续等, 不计现金",复牌后第1个可成交日,RULE-07/SCN-HALT
R08,价格高于压力位,价接近或触及22.30(除息后22.20)且仍需减仓,"在压力区分批卖完剩余至11000, 不追高加仓",剩余(累计11000),22.20-22.30,当日 09:35/14:30,按实际,按实际,13000,<=35%,已达11000则不追加,盘中触及复核,TECH-001 resistance
R09,跌破支撑/软价,价跌破20.80(除息后20.70)但仍在交易,"硬风险>软偏好: 仍按缺口卖至11000, 但不挂跌停市价单, 分笔限价; 不取消减仓",剩余(累计11000),>=support,当日 09:35 起分笔,按实际,按实际,13000,<=35%,跌至跌停->R06; 客户未授权放弃软价前需报备客户,收盘复核是否需客户确认价格,DQ-008/TECH-001 support
R10,流动性/手数/结算,"任何单日卖出<=9000(5% ADV), 按100股整手; 卖出资金T+1可划转, 结算现金始终>=50000","日计划量=min(9000,缺口)整百",整百,-,T+1到账,按明细,净=T+1,-,-,若深度恶化(bid depth<计划量)减半执行并记未成交,当日成交后复核现金底仓,PAR-009/RULE-02/03/04/PAR-008
R11,做T专项,"仅当 SYN 已满足全部硬约束(weight<=35% 且 RC<=60%) 后, 才允许: 先卖可卖底仓<=2000, 当日回补<=2000, 日终持股<=日初, 回补价<=卖出价x0.9930(覆盖双边费+0.3%缓冲)",默认不回补(净减仓优先); 满足价差才部分/全部回补,<=2000 roundtrip,sell@>=21.55 buyback<=21.40,同日内,双边费+缓冲,价差~0.70%才保本,日终<=日初,不增加,"当前 RC~91%>60% 不满足->禁止回补; 先卖后涨无法回补视为做T失败, 不得追加买入",收盘确认日终持股与现金>=50000,PAR-010/011/BUF-01/RULE-01
R12,截止日 10-09,复核: weight<=35%、RC<=60%、stress<=8%、settled low-risk>=300000、现金>=50000; 未达标项列出缺口与已用最大可行数量,"达标则冻结; RC<60%在保留>=12000下数学不可行->升级客户/风控, 不擅自近清仓",0,-,2026-10-09 收盘前,-,-,目标13000,<=35%,客户未拍板本金口径/残差前不形成最终指令,10-09 出书面复核,PAR-004/005/006/007/EV-010
