规则号,适用日期/时段,对象,触发条件(阈值+截止时点),方向自检,动作,数量(累计/追加),价格口径,费用与滑点,预计净现金,资金可划转日,交易后持仓,交易后约束,未成交后手,失效条件,复核时点,证据ID
R1,2026-08-31 09:25集合竞价前,证券A,券商显示A可卖≥18000(含8/28买入4000解冻)且无新冻结,"解冻只增可卖量,使卖出可行,不恶化约束",以限价卖出A第一批,"追加9300股(累计卖A=9300,基准持仓18000)",卖一价附近限价;不高于当日有效报价,佣52.08+印花104.16+过户2.08+滑点104.16,约208057.52,2026-09-01 09:00,A余8700,"A权重18.75%,RCA54.91%(贴CON07线)","未成交则不记入现金,改R4按差额补卖",当日委托成交后即失效;未成交转R4,9/1 15:00,BRK-TRD-03/CAL-03/RULE-02
R2,2026-08-31 09:30-14:30,证券D,D打开跌停且出现连续有效买盘(最佳买量>0)且非一字,出现买盘才能成交;下跌本身不减少卖出必要性,以限价卖出D第一批(单日≤5%ADV=9000股),追加9000股(累计卖D=9000),"买一价限价,滑点0.30%",佣30.38+印花60.75+过户1.22+滑点364.50,约121043.16,2026-09-01 09:00,D余1000,高波动A+D降至约19%,"未成交(仍零买盘)记0,转R3不假设成交",当日买盘消失/转零买盘即失效,9/1 09:00复核买盘,MKT-D-01/OPS-04
R3,2026-09-01 09:30-14:30,证券D,D仍具有效买盘,同R2,卖出D剩余,追加1000股(累计卖D=10000),"买一价限价,滑点0.30%",佣最低5元+印花6.75+过户0.14+滑点40.50,约13447.62,2026-09-02 09:00,D余0,高波动A+D=18.75% PASS,"未成交则D仍在,转D停硬合规分支(卖A至余4200)",D再跌停零买盘即失效,9/1 15:00最终检查,MKT-D-01/CAL-06
R4,2026-09-01 15:00收盘前复核,现金/全组合,已结算可划转<260000且差距=260000-实际可划转,"现金不足直接用款目标未达,方向正确","按100股整数倍补卖可立即成交的A或ETF,直至可划转≥260000并留≥30000保底","补足缺口对应股数(追加,基准=已卖数量)",卖一价限价,按实际成交重算,=260000+保底,2026-09-02 09:00,按实际成交,补卖后重算CON02/04/07,"9/1 15:00后再委托已无法在10:00前划转,即标记不可行",9/1 15:00后失效(赶不上截止),9/1 15:00,CAL-05/CLIENT-01
R5,2026-08-31起全程,证券A,"A虽技术偏强,但RCA>55%或A权重>27%(由R1后实测)","A上涨会抬升其权重与风险贡献,是真正恶化量",不增持/不做T回补;继续按R1额度减,"维持卖A=9300,不追加",-,-,-,-,A余8700,CON07 PASS,若已达标则停止减A,约束回到限内前禁止加仓/回补,每日收盘,RISK-01/CON-07
R6,全程,宽基ETF,需要补充现金且ETF流动性正常,ETF流动性不改变高波动/电子集中,仅在R4现金缺口需要时卖ETF;不作为风险整改主力,"按需,单日≤5%ADV=750000","买一价限价,滑点0.02%,无印花税",最低佣金5元,按净额,次日09:00,-,"只降总仓位,不降CON04/05",卖ETF后仍须检查CON04/07是否另需减A/D,R4缺口补足后即停止卖ETF,每日,MKT-E-01/POLICY-03
R7,全程,证券C,C继续停牌或复牌跳空,"停牌=不可执行;复牌跳空可能是向下,不能用陈旧价成交",C不计入可变现资金;不挂单按15.20卖;复牌首日重新取有效报价后另议,0(当前),复牌首日实时报价,"复牌滑点未知,重算",0(当前),-,C市值仍按账面121600列示但不可变现,-,复牌公告日另行评估,持续停牌期间始终生效;复牌首日重估,复牌当日,MKT-C-01/CA-C-01
R8,全程,证券B,B除息后价格比较/股息到账晚于截止,价格机械除息-0.30不是亏损,"默认不卖B(PREF-04);股息3750于9/3到账,不计入截止日现金",0(默认),-,-,-,9/3 09:00(晚于截止),B余12500,总回报口径约+0.71%,仅当其他标的无法满足约束才重估B,客户改主意或现金约束另解后失效,-,ISSUER-CA-01/CA-B-01
R9,2026-08-31至09-01,执行约束,任何委托未成交/部分成交/资金未结算可划转,未成交不产生现金,"条件未成立即不得记为已完成;成交数量与现金记实际值,未成交部分转后手",按实际成交,限价,按实际,按实际,按实际,按实际,按实际,-,-,每日盘中+收盘,RULE-01/RULE-02
R10,2026-09-01 15:00,现金保底,任何时点已结算可划转现金<30000,保底现金被击穿,停止一切非必需卖出/做T;不做扩大风险动作,0,-,-,保持≥30000,-,-,CON09,-,-,-,POLICY-08
R11,(禁止),做T/加仓,风险约束未全部回到限内,加仓/回补会扩大超限敞口,不做T、不加仓、不回补;RULE-05即使价差覆盖费用也日终不得增仓,0,-,-,-,-,-,禁止,-,-,-,OPS-05/CON-07
