规则ID,适用日期/时段,对象,触发条件,动作,数量及口径,价格口径,最早执行时间,费用与滑点,预计净现金,资金可划转日,交易后持仓/约束,失效条件/后手,复核时点
R01,2026-08-31 09:25前,证券A,8/28当日买入4000股已过T+1且券商可卖显示=18000,"确认后A可卖=18000;若仍显示14000则当日只可卖14000,不卖出该4000",可卖上限(本规则不新增卖出),官方价22.40,09:30,费用另计,0,9/1起,A 18000可卖,CON-10=0(未卖当日买),可卖!=18000则维持14000口径,09:30复核
R02,2026-08-31 09:30起,证券D,D恢复有效买盘且最佳买价存在、买量>0、未再封跌停,"按方案A/C以有效买价限价卖D:方案A卖7700股,方案C卖7000股;单日不超过ADV5%=9000股",累计卖出7700/7000(基准持仓10000),D当时有效报价(非账面13.50),09:30后,佣金0.025%+印花0.05%+过户0.001%+滑点0.3%,按成交,成交后下一交易日09:00,D余2300/3000;高波动<=30%,"若买盘撤回/封板则未成交,转入R03",成交后复核高波动
R03,8/31-9/1,证券D,D仍跌停/零买盘/无有效报价,"不对D下任何卖出委托,不计入可变现;高波动/电子约束保持超限并在memo标注;改用压A(见R06)或接受不达标",D卖出0,-,不可执行,-,0,-,D持仓不变,CON-04/05仍FAIL,D出现买盘则切R02,9/1 15:00复核
R04,8/31-9/1,证券C,继续停牌;或复牌但无连续竞价有效价,"不挂单、不计入现金;若复牌跳空,仅在出现可成交连续报价后按R06同款整手规则另行评估,不得按15.20陈旧价成交",C卖出0,复牌后有效报价,复牌且连续竞价后,-,0,-,C持仓8000,价格陈旧不可分配,复牌首日不按理论价成交,复牌当日复核
R05,8/31开盘,宽基ETF,流动性正常且仅卖ETF无法修复高波动/电子,ETF仅用于补现金缺口:方案B卖14900股;不把ETF当作风控修复手段,累计14900(基准50000),4.12附近,09:30,佣金0.02%无印花无过户滑点0.02%,净61363.44,9/1 09:00,ETF余35100,不修高波动,买盘不足则减量,成交后现金复核
R06,8/31-9/1,证券A,A技术偏强但单票/高波动/风险贡献超限,"方案A/B卖5500股留12500;方案C卖10000股留8000(破PREF-01,需客户确认);只卖可卖底仓,不碰当日新买4000",累计5500或10000(基准18000),22.40附近,09:30,佣金0.025%+印花0.05%+过户0.001%+滑点0.05%,方案A净123044.77,9/1或9/2 09:00,A余12500/8000;单票<=27%,价格下跌则按R08重算数量,成交后复核权重
R07,8/31,证券B,"除息机械下跌0.30元,股息3750元9/3到账","不因价格机械下跌视为亏损而恐慌卖出;PREF-04倾向保留;仅当其他方案无法满足现金时才用B补充,卖出按整手",默认0;备用12500以内,除息后有效价,09:30,佣金+印花+过户+滑点0.06%,按成交,成交下一交易日,B持仓,股息9/3到账不计入截止,现金不足时启用,备用规则
R08,8/31-9/1,全部,"计划价较收盘下跌5%或10%,或成交量触及ADV5%上限,或单笔佣金受最低5元影响","按下跌后价重算整手股数:-5%时方案B净回笼175187.80,缺口8826.38,加卖ETF约1900股;-10%净165967.39,缺口18046.79,加卖ETF约3900股",在R05基础上追加1900/3900股ETF,当时市价,09:30-14:30,重算,补足至>=260000,对应T+1,ETF相应减少,现金达标,仍不足则转R09,逐日收盘复核
R09,2026-09-01 14:30-15:00,现金,届时预计可划转(含在途)仍<260000,"立即以可成交流动性标的(A/ETF)补足整手缺口;9/1卖出款9/2 09:00可划转,赶10:00截止;9/1 15:00后不再下单",整手补足差额,当时市价,9/1 14:30-15:00,重算,补足,9/2 09:00,现金>=260000,9/1后成交来不及,"仍不足则为不可行,报告缺口",15:00截止下单
R10,全程,全部,任何委托未成交/部分成交/资金未可划转,"条件未成立或仅部分成立,该笔净回笼记0,不计入260000;按R08/R09后手补足,禁止写成已成交/已到账",0或部分,-,-,-,0(未成交部分),-,持仓不变,不得记为已完成,成交回报确认后才更新,实时
R11,全程,做T,"仅在硬约束全部回限内后,且价差覆盖双边佣金+过户+卖出印花+双边滑点+0.10%缓冲",先卖已有可卖底仓再当日回补不超过已卖量;日终不增仓、不影响现金目标;硬约束未回限内禁止做T,回补<=已卖,-,-,双边成本+0.10%缓冲,0净,-,日终持仓不增,不用于解决刚性缺口,价差不覆盖则不做,日终复核
